title,realm_category,entry_text,is_active
Forgotten King's Chamber Record 1,Forgotten King's Chamber,Old records claim the Chamber once hosted seasonal feasts attended by every Original Family. Archive Entry 1.,TRUE
Scrolls of the Lost Scribes Record 2,Scrolls of the Lost Scribes,Fragments suggest the Lost Scribes wrote in a language no longer spoken within the Realm. Archive Entry 2.,TRUE
The Ghost Record 3,The Ghost,Some accounts describe the Ghost as a witness rather than a villain. Archive Entry 3.,TRUE
Blaze Mortem Record 4,Blaze Mortem,Blaze Mortem is said to have walked the Forge long before its fires became legendary. Archive Entry 4.,TRUE
The First Sentinel Record 5,The First Sentinel,The First Sentinel stood watch over roads that no longer exist on modern maps. Archive Entry 5.,TRUE
Original Families Record 6,Original Families,The Original Families settled disputes through councils held beneath the King's banner. Archive Entry 6.,TRUE
Golden Age Record 7,Golden Age,"During the Golden Age, harvest festivals lasted for weeks and drew travelers from afar. Archive Entry 7.",TRUE
The Cemetery Record 8,The Cemetery,Ancient graves in the Cemetery bear symbols that predate the fall of the Chamber. Archive Entry 8.,TRUE
The Realm Forge Record 9,The Realm Forge,The Forge once produced ceremonial relics in addition to weapons and tools. Archive Entry 9.,TRUE
Ancient Myths Record 10,Ancient Myths,Many myths describe hidden pathways linking distant corners of the Realm. Archive Entry 10.,TRUE
Forgotten King's Chamber Record 11,Forgotten King's Chamber,Old records claim the Chamber once hosted seasonal feasts attended by every Original Family. Archive Entry 11.,TRUE
Scrolls of the Lost Scribes Record 12,Scrolls of the Lost Scribes,Fragments suggest the Lost Scribes wrote in a language no longer spoken within the Realm. Archive Entry 12.,TRUE
The Ghost Record 13,The Ghost,Some accounts describe the Ghost as a witness rather than a villain. Archive Entry 13.,TRUE
Blaze Mortem Record 14,Blaze Mortem,Blaze Mortem is said to have walked the Forge long before its fires became legendary. Archive Entry 14.,TRUE
The First Sentinel Record 15,The First Sentinel,The First Sentinel stood watch over roads that no longer exist on modern maps. Archive Entry 15.,TRUE
Original Families Record 16,Original Families,The Original Families settled disputes through councils held beneath the King's banner. Archive Entry 16.,TRUE
