title,realm_category,entry_text,is_active
Clue Fragment 1,Forgotten King's Chamber,The fourth pillar is mentioned more often than chance would allow. Fragment 1.,TRUE
Clue Fragment 2,Lost Scribes,A missing page refers to a chamber beneath roots and stone. Fragment 2.,TRUE
Clue Fragment 3,Hidden Paths,The raven appears wherever old boundaries intersect. Fragment 3.,TRUE
Clue Fragment 4,Ancient Symbols,Three crowns point toward a place no map remembers. Fragment 4.,TRUE
Clue Fragment 5,Ravens,"The key was hidden, not lost. Fragment 5.",TRUE
Clue Fragment 6,Crowns,Moonlight reveals markings unseen by day. Fragment 6.,TRUE
Clue Fragment 7,Keys,The Sentinel's gaze never faced the main gate. Fragment 7.,TRUE
Clue Fragment 8,Moons,Count seven steps beyond the broken arch. Fragment 8.,TRUE
Clue Fragment 9,Sentinels,The Forge concealed secrets unrelated to metal or fire. Fragment 9.,TRUE
Clue Fragment 10,The Forge,What was buried was meant to be found later. Fragment 10.,TRUE
Clue Fragment 11,Forgotten King's Chamber,The fourth pillar is mentioned more often than chance would allow. Fragment 11.,TRUE
Clue Fragment 12,Lost Scribes,A missing page refers to a chamber beneath roots and stone. Fragment 12.,TRUE
Clue Fragment 13,Hidden Paths,The raven appears wherever old boundaries intersect. Fragment 13.,TRUE
Clue Fragment 14,Ancient Symbols,Three crowns point toward a place no map remembers. Fragment 14.,TRUE
Clue Fragment 15,Ravens,"The key was hidden, not lost. Fragment 15.",TRUE
Clue Fragment 16,Crowns,Moonlight reveals markings unseen by day. Fragment 16.,TRUE
Clue Fragment 17,Keys,The Sentinel's gaze never faced the main gate. Fragment 17.,TRUE
Clue Fragment 18,Moons,Count seven steps beyond the broken arch. Fragment 18.,TRUE
Clue Fragment 19,Sentinels,The Forge concealed secrets unrelated to metal or fire. Fragment 19.,TRUE
Clue Fragment 20,The Forge,What was buried was meant to be found later. Fragment 20.,TRUE
Clue Fragment 21,Forgotten King's Chamber,The fourth pillar is mentioned more often than chance would allow. Fragment 21.,TRUE
Clue Fragment 22,Lost Scribes,A missing page refers to a chamber beneath roots and stone. Fragment 22.,TRUE
Clue Fragment 23,Hidden Paths,The raven appears wherever old boundaries intersect. Fragment 23.,TRUE
Clue Fragment 24,Ancient Symbols,Three crowns point toward a place no map remembers. Fragment 24.,TRUE
Clue Fragment 25,Ravens,"The key was hidden, not lost. Fragment 25.",TRUE
Clue Fragment 26,Crowns,Moonlight reveals markings unseen by day. Fragment 26.,TRUE
Clue Fragment 27,Keys,The Sentinel's gaze never faced the main gate. Fragment 27.,TRUE
Clue Fragment 28,Moons,Count seven steps beyond the broken arch. Fragment 28.,TRUE
Clue Fragment 29,Sentinels,The Forge concealed secrets unrelated to metal or fire. Fragment 29.,TRUE
Clue Fragment 30,The Forge,What was buried was meant to be found later. Fragment 30.,TRUE
Clue Fragment 31,Forgotten King's Chamber,The fourth pillar is mentioned more often than chance would allow. Fragment 31.,TRUE
Clue Fragment 32,Lost Scribes,A missing page refers to a chamber beneath roots and stone. Fragment 32.,TRUE
Clue Fragment 33,Hidden Paths,The raven appears wherever old boundaries intersect. Fragment 33.,TRUE
