id,legend,series,card_name,serial_number,rarity,card_value,image_key,lore
RLM-0001,Blaze Mortem,Infernal Heat,Blaze Mortem - Infernal Heat,SN-001/010,Legendary,6250,blaze,A relic tied to Blaze Mortem from the Infernal Heat series.
RLM-0002,Blaze Mortem,Infernal Heat,Blaze Mortem - Infernal Heat,SN-002/010,Legendary,5250,blaze,A relic tied to Blaze Mortem from the Infernal Heat series.
RLM-0003,Blaze Mortem,Infernal Heat,Blaze Mortem - Infernal Heat,SN-003/010,Epic,4250,blaze,A relic tied to Blaze Mortem from the Infernal Heat series.
RLM-0004,Blaze Mortem,Infernal Heat,Blaze Mortem - Infernal Heat,SN-004/010,Epic,3250,blaze,A relic tied to Blaze Mortem from the Infernal Heat series.
RLM-0005,Blaze Mortem,Infernal Heat,Blaze Mortem - Infernal Heat,SN-005/010,Rare,2250,blaze,A relic tied to Blaze Mortem from the Infernal Heat series.
RLM-0006,Blaze Mortem,Infernal Heat,Blaze Mortem - Infernal Heat,SN-006/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Infernal Heat series.
RLM-0007,Blaze Mortem,Infernal Heat,Blaze Mortem - Infernal Heat,SN-007/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Infernal Heat series.
RLM-0008,Blaze Mortem,Infernal Heat,Blaze Mortem - Infernal Heat,SN-008/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Infernal Heat series.
RLM-0009,Blaze Mortem,Infernal Heat,Blaze Mortem - Infernal Heat,SN-009/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Infernal Heat series.
RLM-0010,Blaze Mortem,Infernal Heat,Blaze Mortem - Infernal Heat,SN-010/010,Rare,1750,blaze,A relic tied to Blaze Mortem from the Infernal Heat series.
RLM-0011,Blaze Mortem,Forgotten Legends,Blaze Mortem - Forgotten Legends,SN-001/010,Mythic,6500,blaze,A relic tied to Blaze Mortem from the Forgotten Legends series.
RLM-0012,Blaze Mortem,Forgotten Legends,Blaze Mortem - Forgotten Legends,SN-002/010,Legendary,5500,blaze,A relic tied to Blaze Mortem from the Forgotten Legends series.
RLM-0013,Blaze Mortem,Forgotten Legends,Blaze Mortem - Forgotten Legends,SN-003/010,Legendary,4500,blaze,A relic tied to Blaze Mortem from the Forgotten Legends series.
RLM-0014,Blaze Mortem,Forgotten Legends,Blaze Mortem - Forgotten Legends,SN-004/010,Epic,3500,blaze,A relic tied to Blaze Mortem from the Forgotten Legends series.
RLM-0015,Blaze Mortem,Forgotten Legends,Blaze Mortem - Forgotten Legends,SN-005/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Forgotten Legends series.
RLM-0016,Blaze Mortem,Forgotten Legends,Blaze Mortem - Forgotten Legends,SN-006/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Forgotten Legends series.
RLM-0017,Blaze Mortem,Forgotten Legends,Blaze Mortem - Forgotten Legends,SN-007/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Forgotten Legends series.
RLM-0018,Blaze Mortem,Forgotten Legends,Blaze Mortem - Forgotten Legends,SN-008/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Forgotten Legends series.
RLM-0019,Blaze Mortem,Forgotten Legends,Blaze Mortem - Forgotten Legends,SN-009/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Forgotten Legends series.
RLM-0020,Blaze Mortem,Forgotten Legends,Blaze Mortem - Forgotten Legends,SN-010/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Forgotten Legends series.
RLM-0021,Blaze Mortem,Sentinel's Oath,Blaze Mortem - Sentinel's Oath,SN-001/010,Mythic,6500,blaze,A relic tied to Blaze Mortem from the Sentinel's Oath series.
RLM-0022,Blaze Mortem,Sentinel's Oath,Blaze Mortem - Sentinel's Oath,SN-002/010,Legendary,5500,blaze,A relic tied to Blaze Mortem from the Sentinel's Oath series.
RLM-0023,Blaze Mortem,Sentinel's Oath,Blaze Mortem - Sentinel's Oath,SN-003/010,Legendary,4500,blaze,A relic tied to Blaze Mortem from the Sentinel's Oath series.
RLM-0024,Blaze Mortem,Sentinel's Oath,Blaze Mortem - Sentinel's Oath,SN-004/010,Epic,3500,blaze,A relic tied to Blaze Mortem from the Sentinel's Oath series.
RLM-0025,Blaze Mortem,Sentinel's Oath,Blaze Mortem - Sentinel's Oath,SN-005/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Sentinel's Oath series.
RLM-0026,Blaze Mortem,Sentinel's Oath,Blaze Mortem - Sentinel's Oath,SN-006/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Sentinel's Oath series.
RLM-0027,Blaze Mortem,Sentinel's Oath,Blaze Mortem - Sentinel's Oath,SN-007/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Sentinel's Oath series.
RLM-0028,Blaze Mortem,Sentinel's Oath,Blaze Mortem - Sentinel's Oath,SN-008/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Sentinel's Oath series.
RLM-0029,Blaze Mortem,Sentinel's Oath,Blaze Mortem - Sentinel's Oath,SN-009/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Sentinel's Oath series.
RLM-0030,Blaze Mortem,Sentinel's Oath,Blaze Mortem - Sentinel's Oath,SN-010/010,Rare,2000,blaze,A relic tied to Blaze Mortem from the Sentinel's Oath series.
RLM-0031,Blaze Mortem,Ghost Storm,Blaze Mortem - Ghost Storm,SN-001/010,Mythic,7000,blaze,A relic tied to Blaze Mortem from the Ghost Storm series.
RLM-0032,Blaze Mortem,Ghost Storm,Blaze Mortem - Ghost Storm,SN-002/010,Legendary,6000,blaze,A relic tied to Blaze Mortem from the Ghost Storm series.
RLM-0033,Blaze Mortem,Ghost Storm,Blaze Mortem - Ghost Storm,SN-003/010,Legendary,5000,blaze,A relic tied to Blaze Mortem from the Ghost Storm series.
RLM-0034,Blaze Mortem,Ghost Storm,Blaze Mortem - Ghost Storm,SN-004/010,Epic,4000,blaze,A relic tied to Blaze Mortem from the Ghost Storm series.
RLM-0035,Blaze Mortem,Ghost Storm,Blaze Mortem - Ghost Storm,SN-005/010,Epic,3000,blaze,A relic tied to Blaze Mortem from the Ghost Storm series.
RLM-0036,Blaze Mortem,Ghost Storm,Blaze Mortem - Ghost Storm,SN-006/010,Epic,2500,blaze,A relic tied to Blaze Mortem from the Ghost Storm series.
